Index	Cell	Lineage	Branch Length	Height	Height 0.95 HPD Lo	Height 0.95 HPD Hi	Height Median	Height Range Lo	Height Range Hi	Length	Length 0.95 HPD Lo	Length 0.95 HPD Hi	Length Median	Length Range Lo	Length Range Hi	Posterior	Rate	Rate 0.95 HPD Lo	Rate 0.95 HPD Hi	Rate Median	Rate Range Lo	Rate Range Hi
69	Cell46	X.1.1.1.1.1.1.1.2.1	0.114296917417171	2.48441516000035e-17	0	5.55111512312578e-17	0	0	1.11022302462516e-16	0.108352171929507	0.0825819872608018	0.129569385241699	0.109223522487603	0.0692685297414766	0.140753845993507		0.924588688665916	0.724263261517958	1.15617581724508	0.918981080308761	0.593592203899166	1.32266423542146
70	Cell47	X.1.1.1.1.1.2.2.2.1	0.0820220523495695	2.46223288178606e-17	0	5.55111512312578e-17	0	0	1.11022302462516e-16	0.0867774587561919	0.0540153939431908	0.129874387745212	0.0833010963827571	0.0460789583172804	0.15399111179163		0.969292908755553	0.723711827462987	1.26258720607337	0.962480446619163	0.582178707362803	1.58731565477004
71	Cell48	X.1.1.1.1.1.1.2.1	0.143080729375284	2.46777845133963e-17	0	5.55111512312578e-17	0	0	5.55111512312578e-17	0.142689698103747	0.128298916915376	0.158912510783438	0.142949514725608	0.113351730813839	0.171295358178587		0.79337606224134	0.592244704771655	1.01360204084408	0.791278303366334	0.526397548089663	1.16772419733149
72	Cell49	X.1.1.1.1.2.2.2.2.2	0.086116091964102	2.51214300776821e-17	0	5.55111512312578e-17	0	0	1.11022302462516e-16	0.091322725334892	0.0585776413110126	0.120664570581434	0.0905759728791558	0.0512108374424936	0.150792011589183		1.0912046960606	0.786068520053705	1.42988656314342	1.07730586517791	0.584353614756288	1.95171167285671
73	Cell5	X.1.1.1.1.1.2.1.1.1	0.121202414993447	2.47332402089321e-17	0	5.55111512312578e-17	0	0	1.11022302462516e-16	0.116289496750339	0.087969720405032	0.137552256636139	0.117823428934411	0.0676347549729097	0.148019411961849		1.13510594795162	0.879350410916808	1.37866600008655	1.13229016406212	0.815938759789034	1.56679061809355
74	Cell50	X.1.1.1.1.1.1.1.1.2.1	0.0979025941845255	2.52323414687536e-17	0	5.55111512312578e-17	0	0	1.11022302462516e-16	0.0971036868720294	0.077143859771855	0.117122356283254	0.0971665536852635	0.0425715987652398	0.128847253519551		1.17932486554123	0.842699544094631	1.52064653176072	1.1713932958971	0.699853657919172	1.87315578981137
75	Cell51	X.1.1.1.1.1.1.1.1.2.2.2	0.0813553229280988	2.53987085553607e-17	0	5.55111512312578e-17	0	0	1.11022302462516e-16	0.0825829108185037	0.0613051703538582	0.103095428002815	0.0824514311707027	0.0542996568309018	0.11799652405696		1.10993698958253	0.813043651295641	1.43852518405009	1.09722044382945	0.745763102369258	1.92121769866375
76	Cell52	X.1.1.2.1.2.1	0.123563984180292	2.45114174267892e-17	0	5.55111512312578e-17	0	0	1.11022302462516e-16	0.125024632658863	0.0989461660072907	0.154307864571746	0.124295414210481	0.083431969552089	0.182513999591751		0.930679538094502	0.726385554404802	1.1735087164295	0.926617728782997	0.65070696564457	1.5305322090651
77	Cell53	X.1.1.1.1.1.2.2.2.2	0.0820220523495695	2.45668731223249e-17	0	5.55111512312578e-17	0	0	1.11022302462516e-16	0.080535923977023	0.0487355048217902	0.110919250292318	0.0793004011158025	0.0344919468675463	0.135418203738503		1.12232115247946	0.722920268237007	1.50566418607206	1.10640695971084	0.63736595931493	1.95315001422859
78	Cell54	X.1.1.1.1.1.2.1.2.2	0.103003954975615	2.46777845133963e-17	0	5.55111512312578e-17	0	0	1.11022302462516e-16	0.105261155181589	0.0759544408134101	0.132827314406454	0.105076042537239	0.0591036273377935	0.159399142305039		0.939310139535222	0.692581313146707	1.18378437695256	0.929788466313759	0.634241412350732	1.46063176535203
